cipher,rounds,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,candidate_mean,candidate_ci95_low,candidate_ci95_high,mean_difference,ci95_overlap,paired_n,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,paired_difference_excludes_zero
simon,9,advantage_abs,0.0024866666666666704,0.0006080042181736637,0.004365329115159677,0.0040333333333333445,0.0010321775860327172,0.007034489080633971,0.001546666666666674,True,10,0.001546666666666674,-0.0026395418162023323,0.005732875149535681,False
simon,10,auc_roc,0.5021853475555556,0.5001612593186077,0.5042094357925034,0.49996770400000007,0.4962414695184104,0.5036939384815897,-0.002217643555555482,True,10,-0.0022176435555555595,-0.004666424974698364,0.00023113786358724573,False
simon,10,advantage_abs,0.003053333333333336,0.0017745825287327486,0.004332084137933923,0.0032200000000000006,0.0012168812170794971,0.005223118782920504,0.0001666666666666648,True,10,0.00016666666666666495,-0.0018903703819922871,0.002223703715325617,False
speck,3,auc_roc,0.9856263351111112,0.9849652252171613,0.986287445005061,0.9999558551111111,0.9999273528777346,0.9999843573444875,0.014329519999999873,False,10,0.014329519999999974,0.013670145838843266,0.014988894161156683,True
speck,3,advantage_abs,0.4476466666666667,0.44572426401863596,0.4495690693146974,0.49744666666666665,0.49645193264133347,0.4984414006919998,0.049799999999999955,False,10,0.0498,0.04772015022764729,0.0518798497723527,True
speck,4,auc_roc,0.9118018444444443,0.9097359163469526,0.9138677725419361,0.9796639137777777,0.9784475657099615,0.980880261845594,0.06786206933333339,False,10,0.06786206933333336,0.06502750326979806,0.07069663539686866,True
speck,4,advantage_abs,0.34824666666666665,0.34539817836242914,0.35109515497090416,0.44132,0.44005057009442994,0.44258942990557004,0.09307333333333334,False,10,0.09307333333333338,0.08961613758492047,0.0965305290817463,True
speck,5,auc_roc,0.7319618755555556,0.7292428599842657,0.7346808911268454,0.9074890382222222,0.905552933594327,0.9094251428501173,0.17552716266666657,False,10,0.17552716266666663,0.17232668713759333,0.17872763819573992,True
speck,5,advantage_abs,0.16500666666666666,0.16283058440674275,0.16718274892659057,0.35206666666666664,0.34930181721816334,0.35483151611516994,0.18705999999999998,False,10,0.18705999999999998,0.18303016487878498,0.19108983512121497,True
speck,6,auc_roc,0.5023945546666667,0.4992368260980665,0.5055522832352669,0.7100265946666667,0.7050112079834748,0.7150419813498586,0.20763204000000002,False,10,0.20763204000000002,0.2007538266378896,0.21451025336211044,True
speck,6,advantage_abs,0.002566666666666673,0.000822587174849343,0.004310746158484003,0.16097333333333333,0.15287814611923575,0.1690685205474309,0.15840666666666667,False,10,0.15840666666666664,0.1499166445234054,0.1668966888099279,True
speck,7,auc_roc,0.5010274746666668,0.4980031269700757,0.5040518223632579,0.501829528,0.49891598079034055,0.5047430752096594,0.0008020533333332747,True,10,0.0008020533333333302,-0.003190401192663236,0.004794507859329896,False
speck,7,advantage_abs,0.002400000000000002,0.0008276895211893544,0.00397231047881065,0.002893333333333331,0.0015740463854541158,0.0042126202812125466,0.0004933333333333291,True,10,0.0004933333333333289,-0.001824303445264887,0.002810970111931545,False
speck,8,auc_roc,0.5004402382222222,0.49689880559623945,0.5039816708482049,0.5004186186666666,0.4987705850393099,0.5020666522940234,-2.1619555555574266e-05,True,10,-2.1619555555563163e-05,-0.003051726063867653,0.003008486952756527,False
speck,8,advantage_abs,0.0036199999999999843,0.0021619113766303357,0.005078088623369633,0.0017533333333333346,0.0007703532757533278,0.0027363133909133414,-0.0018666666666666497,True,10,-0.0018666666666666497,-0.004140809776401732,0.0004074764430684317,False
speck,9,auc_roc,0.500935512,0.4966363186775338,0.5052347053224662,0.4998649288888889,0.4945700885425681,0.5051597692352097,-0.0010705831111110786,True,10,-0.0010705831111111174,-0.005268186021239195,0.0031270197990169593,False
speck,9,advantage_abs,0.003739999999999999,0.0022526756718635084,0.0052273243281364895,0.004339999999999994,0.0015226037798152766,0.0071573962201847115,0.0005999999999999951,True,10,0.000599999999999995,-0.002106102626944436,0.003306102626944426,False
speck,10,auc_roc,0.5014990426666667,0.49763764563639584,0.5053604396969376,0.5008954177777778,0.499087768995018,0.5027030665605375,-0.0006036248888888762,True,10,-0.0006036248888888485,-0.00493993565757979,0.0037326858798020935,False
speck,10,advantage_abs,0.003899999999999998,0.002632472400300493,0.0051675275996995035,0.0019799999999999983,0.0010698956593151927,0.002890104340684804,-0.0019199999999999998,True,10,-0.0019199999999999994,-0.0032899488135774337,-0.0005500511864225653,True
